Prefijo;Descripcion;Modalidad
11154676;AMBA;CPP
351154396;CORDOBA;CPP
261154555;MENDOZA;CPP
341154696;ROSARIO;CPP
342154988;SANTA FE;CPP
1146751;AMBA;MPP
3514390;CORDOBA;MPP
2614550;MENDOZA;MPP
3414690;ROSARIO;MPP
3424987;SANTA FE;MPP
115553;AMBA;SBT
115544;AMBA;SBT
115555;AMBA;SBT
115554;AMBA;SBT
115548;AMBA;SBT
115547;AMBA;SBT
115546;AMBA;SBT
115545;AMBA;SBT
115538;AMBA;SBT
115557;AMBA;SBT
115536;AMBA;SBT
115558;AMBA;SBT
115534;AMBA;SBT
115533;AMBA;SBT
115532;AMBA;SBT
115541;AMBA;SBT
115531;AMBA;SBT
115551;AMBA;SBT
115552;AMBA;SBT
115543;AMBA;SBT
115537;AMBA;SBT
115678;AMBA;SBT
115286;AMBA;SBT
115689;AMBA;SBT
115688;AMBA;SBT
115687;AMBA;SBT
115685;AMBA;SBT
115683;AMBA;SBT
115682;AMBA;SBT
115681;AMBA;SBT
115556;AMBA;SBT
115679;AMBA;SBT
115684;AMBA;SBT
115677;AMBA;SBT
115676;AMBA;SBT
115675;AMBA;SBT
115674;AMBA;SBT
115673;AMBA;SBT
115672;AMBA;SBT
115671;AMBA;SBT
115670;AMBA;SBT
115680;AMBA;SBT
115293;AMBA;SBT
115435;AMBA;SBT
115434;AMBA;SBT
115432;AMBA;SBT
115430;AMBA;SBT
115299;AMBA;SBT
115298;AMBA;SBT
115297;AMBA;SBT
115296;AMBA;SBT
115436;AMBA;SBT
115294;AMBA;SBT
115433;AMBA;SBT
115292;AMBA;SBT
115291;AMBA;SBT
115287;AMBA;SBT
115290;AMBA;SBT
115289;AMBA;SBT
115288;AMBA;SBT
115686;AMBA;SBT
115539;AMBA;SBT
115295;AMBA;SBT
115449;AMBA;SBT
115549;AMBA;SBT
115559;AMBA;SBT
115550;AMBA;SBT
115535;AMBA;SBT
115542;AMBA;SBT
115540;AMBA;SBT
115431;AMBA;SBT
115530;AMBA;SBT
115437;AMBA;SBT
115448;AMBA;SBT
115447;AMBA;SBT
115445;AMBA;SBT
115444;AMBA;SBT
115443;AMBA;SBT
115442;AMBA;SBT
115441;AMBA;SBT
115440;AMBA;SBT
115446;AMBA;SBT
115438;AMBA;SBT
115439;AMBA;SBT
115284;AMBA;SBT
115283;AMBA;SBT
115282;AMBA;SBT
115281;AMBA;SBT
115280;AMBA;SBT
115285;AMBA;SBT
291411;BAHIA BLANCA;SBT
351553;CORDOBA;SBT
351554;CORDOBA;SBT
351556;CORDOBA;SBT
221441;LA PLATA;SBT
221442;LA PLATA;SBT
3327431;LOPEZ CAMELO;SBT
223435;MAR DEL PLATA;SBT
261465;MENDOZA;SBT
261464;MENDOZA;SBT
299437;NEUQUEN;SBT
341524;ROSARIO;SBT
341523;ROSARIO;SBT
341522;ROSARIO;SBT
116389;AMBA;SBT
116388;AMBA;SBT
116387;AMBA;SBT
116386;AMBA;SBT
116385;AMBA;SBT
291434;BAHIA BLANCA;SBT
348964;CAMPANA;SBT
341678;CARCARA?A;SBT
297490;COMODORO RIVADAVIA;SBT
351694;CORDOBA;SBT
351690;CORDOBA;SBT
351691;CORDOBA;SBT
351692;CORDOBA;SBT
351693;CORDOBA;SBT
292644;CORONEL SUAREZ;SBT
221584;LA PLATA;SBT
221583;LA PLATA;SBT
221582;LA PLATA;SBT
221581;LA PLATA;SBT
221580;LA PLATA;SBT
338541;LABOULAYE;SBT
261580;LUJAN DE CUYO;SBT
225759;MAR DE AJO;SBT
223515;MAR DEL PLATA;SBT
261585;MENDOZA;SBT
261584;MENDOZA;SBT
261583;MENDOZA;SBT
261581;MENDOZA;SBT
261582;MENDOZA;SBT
265759;MERCEDES (PROV.  SAN LUIS);SBT
299481;NEUQUEN;SBT
299480;NEUQUEN;SBT
343449;PARANA;SBT
247764;PERGAMINO;SBT
341632;ROSARIO;SBT
341633;ROSARIO;SBT
341631;ROSARIO;SBT
341630;ROSARIO;SBT
341634;ROSARIO;SBT
387470;SALTA;SBT
381499;SAN MIGUEL DE TUCUMAN;SBT
3884896;SAN SALVADOR DE JUJUY;SBT
342470;SANTA FE;SBT
385479;SANTIAGO DEL ESTERO;SBT
225551;VILLA GESELL;SBT
353485;VILLA MARIA;SBT
348760;ZARATE;SBT
116091;AMBA;SBT
115368;AMBA;SBT
351638;CORDOBA;SBT
351639;CORDOBA;SBT
346915587;ACEBAL;CPP
346915586;ACEBAL;CPP
358515599;ADELIA MARIA;CPP
358515590;ADELIA MARIA;CPP
